date,col1,col2,col3
01-01-2000,1,1,0.964761858
02-01-2000,1.093916395,1.240804588,0.96975194
03-01-2000,1.124996567,1.450336835,0.761188423
04-01-2000,1.09709318,1.614323592,-0.019931816
05-01-2000,1.017580469,1.720634606,0.030257741
06-01-2000,0.896802247,1.760073511,-0.564088392
07-01-2000,0.747337625,1.726995356,-0.628500708
08-01-2000,0.583131928,1.61971124,-1.16481346
09-01-2000,0.418548634,1.440653847,-0.023965477
10-01-2000,0.267403063,1.196292534,0.371258912
11-01-2000,0.142039522,0.896802247,1.00697876
12-01-2000,0.052510765,0.555505867,1.526138041
13-01-2000,0.005912027,0.188123753,1.69809556
14-01-2000,0.005912027,-0.188123753,1.578052794
15-01-2000,0.052510765,-0.555505867,1.665837554
16-01-2000,0.142039522,-0.896802247,1.144299496
17-01-2000,0.267403063,-1.196292534,0.521298564
18-01-2000,0.418548634,-1.440653847,0.243925679
19-01-2000,0.583131928,-1.61971124,-0.11929062
20-01-2000,0.747337625,-1.726995356,-0.307970909
21-01-2000,0.896802247,-1.760073511,0.204427684
22-01-2000,1.017580469,-1.720634606,0.358137829
23-01-2000,1.09709318,-1.614323592,0.976056059
24-01-2000,1.124996567,-1.450336835,1.784026742
25-01-2000,1.093916395,-1.240804588,1.968550708
26-01-2000,1,-1,2.057083536
27-01-2000,0.843249928,-0.743424814,1.960968906
28-01-2000,0.627616793,-0.486829487,1.385916866
29-01-2000,0.360844075,-0.24522938,0.985343314
30-01-2000,0.054073121,-0.031978755,0.908519369
31-01-2000,-0.278768258,0.142039522,-0.085379061
01-02-2000,-0.621756586,0.269058101,-0.212746089
02-02-2000,-0.957894557,0.344863261,-0.015885237
03-02-2000,-1.270107217,0.369000257,0.273823616
04-02-2000,-1.542251042,0.344733951,0.94791513
05-02-2000,-1.760073511,0.278768258,1.258617564
06-02-2000,-1.912063737,0.180743238,1.3815019
07-02-2000,-1.99014143,0.062542714,1.964283134
08-02-2000,-1.99014143,-0.062542714,1.615089971
09-02-2000,-1.912063737,-0.180743238,1.570526718
10-02-2000,-1.760073511,-0.278768258,1.106321989
11-02-2000,-1.542251042,-0.344733951,0.047376412
12-02-2000,-1.270107217,-0.369000257,-0.358725308
13-02-2000,-0.957894557,-0.344863261,-0.749612512
14-02-2000,-0.621756586,-0.269058101,-0.630305154
15-02-2000,-0.278768258,-0.142039522,-0.14367715
16-02-2000,0.054073121,0.031978755,-0.193342602
17-02-2000,0.360844075,0.24522938,0.288211594
18-02-2000,0.627616793,0.486829487,0.726302962
19-02-2000,0.843249928,0.743424814,1.042504695
20-02-2000,1,1,0.825735617
21-02-2000,1.093916395,1.240804588,0.729831247
22-02-2000,1.124996567,1.450336835,0.543126879
23-02-2000,1.09709318,1.614323592,0.092699064
24-02-2000,1.017580469,1.720634606,-0.456870557
25-02-2000,0.896802247,1.760073511,-1.125942458
26-02-2000,0.747337625,1.726995356,-1.021300372
27-02-2000,0.583131928,1.61971124,-1.568959288
28-02-2000,0.418548634,1.440653847,-0.992888251
29-02-2000,0.267403063,1.196292534,-0.644362621
